,#image_name,norad_number,name,type,designation,lat [deg],lon [deg],height [m],t_start [UTC],t_end [UTC],range [m],ang_vel [deg/s],phase angle [deg],offset angle [deg],offset [px],TLE age [days], rho, theta, scale, sigma,RCS,Class,Shape,FirstEpoch,NEXP,Brightness,StarMag,ObjMag,EXPTimes,Counts,Albedos,PhaseCorrections,Latitude,Longitude,RaCenter,DecCenter,RollAngle,EarthAngle,SunAngle,MoonAngle,TimeDifference,Height,Diameter,Span,Width,SectMin,SectMax,Type,ObservationTime
2400,CH_PR100025_TG006904_V0300_316.fits,48377,STARLINK-2499,PAYLOAD,21038AA,38.968,122.883,549541.0,2023-03-13T21:04:13.233Z,2023-03-13T21:04:51.233Z,473776.0,0.4069,46.9,1.2,70.8,0.0095081365167687,225.5,0.5759586,6.1176826224219365,27.479286545491657,13.5615,Payload,Box + 1 Pan,2021-05-12,1,127304.0841468076,8.81,-6.133191879603352,38.0,21347040.04929292,0.2471249327281373,0.841744231276699,37.691883,128.2483,126.616035461426,10.0803699493408,41.95788,0.0774827825934382,133.11684893839035,119.74164064037603,670.0,0.1,,8.86,3.7,0.2311,23.657,Long,2023-03-13T21:04:32.232243
2401,CH_PR100025_TG006904_V0300_380.fits,8026,METEOR 2-1,PAYLOAD,75064A,-62.337,-59.383,874208.0,2023-03-13T22:01:53.635Z,2023-03-13T22:01:53.815Z,1517525.0,0.3113,46.92,1.18,1.7,-0.2962377628735125,111.0,1.7453293,6.1176826224219365,24.08405038090592,5.717698629533423,Payload,Cyl + 2 Pan,1975-07-11,1,18004.561459213124,8.81,-0.5745854643396111,38.0,21346128.324580383,0.6508782952714187,0.8415097972571363,-66.89103,-79.50651,126.616035461426,10.0803699493408,200.76697,24.00329519456016,133.08005782695273,120.4720774508135,17412.0,4.5,1.4,4.5,,1.5393804002589984,6.4853444023198605,Short,2023-03-13T22:02:12.635208
2402,CH_PR100025_TG006904_V0300_462.fits,50158,STARLINK-3309,PAYLOAD,21125C,46.89,69.894,544086.0,2023-03-14T00:23:51.549Z,2023-03-14T00:23:51.666Z,645390.0,0.5588,47.01,1.17,3.2,0.0210582641699444,34.5,2.1991148,6.1176826224219365,24.768407721091016,13.5615,Payload,Box + 1 Pan,2021-12-23,1,93927.48548678072,8.81,-5.727872217473379,38.0,25463154.355294906,0.3899452881812294,0.8408836627400804,44.391663,76.62466,126.616035461426,10.0803699493408,36.7399,4.993002068105402,132.98190293216277,121.57991651654848,446.0,0.1,,8.86,3.7,0.2311,23.657,Long,2023-03-14T00:24:10.549160
2403,CH_PR100025_TG006904_V0300_462.fits,50158,STARLINK-3309,PAYLOAD,21125C,46.89,69.894,544086.0,2023-03-14T00:23:51.549Z,2023-03-14T00:23:51.671Z,645390.0,0.5588,47.01,2.79,1.5,0.0210582641699444,34.5,2.1991148,6.1176826224219365,24.768407721091016,13.5615,Payload,Box + 1 Pan,2021-12-23,1,93927.48548678072,8.81,-5.727872217473379,38.0,25463154.355294906,0.3899452881812294,0.8408836627400804,44.391663,76.62466,126.616035461426,10.0803699493408,36.7399,4.993002068105402,132.98190293216277,121.57991651654848,446.0,0.1,,8.86,3.7,0.2311,23.657,Long,2023-03-14T00:24:10.549160
2404,CH_PR100025_TG006904_V0300_547.fits,41858,CZ-2D R/B,ROCKET BODY,16068B,-57.534,-114.519,818286.0,2023-03-14T01:17:43.793Z,2023-03-14T01:17:43.848Z,666977.0,1.008,47.04,0.12,47.2,0.0582981263724545,92.5,1.6755161,6.1176826224219365,24.565806548843494,25.45573622341555,Rocket Body,Cyl + 1 Sail,2016-11-13,1,25654.782629955767,8.81,-4.281650640881072,38.0,22378915.922847323,0.1244138057662108,0.8406655890966914,-60.23929,-123.32396,126.616035461426,10.0803699493408,205.40086,29.1709754532542,132.94775378219109,122.2823179622494,2312.0,8.0,3.35,8.0,,8.814130888727863,28.21221195375553,Long,2023-03-14T01:18:02.793129
2405,CH_PR100025_TG006904_V0300_635.fits,26038,GALAXY 11,PAYLOAD,99071A,2.223,-93.144,35781485.0,2023-03-14T02:53:25.780Z,2023-03-14T02:53:35.900Z,39832006.0,0.005907,47.13,0.45,8.2,0.1268862490047878,22.0,2.443461,6.1176826224219365,24.78950619631707,53.04093333333334,Payload,Box + 2 Pan,1999-12-22,1,12625.107905397908,8.81,10.234566840145645,38.0,21465939.62935176,0.6405609522328843,0.8402545445741065,-49.036537,-142.2125,126.616035461426,10.0803699493408,213.29396,37.0437514082541,132.8834378845905,123.20293080099214,8483.0,6.2,,34.0,3.3,10.89,111.9648613466284,Long,2023-03-14T02:53:44.780126
2406,CH_PR100025_TG007001_V0300_273.fits,41179,ORBCOMM FM 114,PAYLOAD,15081A,-42.436,26.749,721656.0,2022-05-05T15:42:50.413Z,2022-05-05T15:42:50.452Z,335782.0,1.434,20.76,0.52,144.3,0.11572901123664,67.0,1.6057029,13.893840661437888,20.501290362480507,2.22200735294117,Payload,Box + 1 Pan + 1 Ant,2015-12-22,1,32642.88640573843,10.91,-8.2071912802929,60.0,4990796.914059451,0.5814943143535649,0.9674427736111808,-41.294666,26.662771,242.573745727539,-24.9903507232666,222.32428,20.981265348321823,159.2096621797019,147.85663005888867,2326.0,1.0,,13.0,0.5,0.6728,3.1752,Long,2022-05-05T15:43:20.412634
2407,CH_PR100025_TG007001_V0300_41.fits,46774,STARLINK-1939,PAYLOAD,20074AM,-19.289,116.564,530347.0,2022-05-05T10:38:41.968Z,2022-05-05T10:38:42.051Z,1246849.0,0.6633,20.96,1.1,26.7,-0.0044532143343776,176.0,1.6057029,13.893840661437888,21.46590649371381,13.5615,Payload,Box + 1 Pan,2020-10-24,1,4349.708321613702,10.91,-1.2451766297225468,60.0,4985518.747415209,0.081109237267029,0.9668143216812768,-14.48313,107.831665,242.573745727539,-24.9903507232666,247.22086,10.078390104502668,159.0077102520528,150.52927225150358,558.0,0.1,,8.86,3.7,0.2311,23.657,Long,2022-05-05T10:39:11.968380
2408,CH_PR100025_TG007002_V0300_141.fits,17526,SL-8 R/B,ROCKET BODY,87017B,-75.849,-49.256,986269.0,2022-05-26T09:46:05.901Z,2022-05-26T09:46:05.952Z,767923.0,1.087,3.9,0.4,1.2,-0.0932151071617974,120.0,1.5358897,13.732973791063774,27.417670231303536,14.646104951035616,Rocket Body,Cyl,1987-02-18,1,15822.26216052701,10.91,-5.475870503186261,60.0,5295874.722556167,0.154742758104901,0.9988422670198882,-73.71865,-27.27783,242.573745727539,-24.9903507232666,165.44069,39.86206156775148,176.1002149887796,133.80607025574963,12881.0,6.57,2.4,6.57,,4.523893421169302,16.404128617092066,Long,2022-05-26T09:46:35.901733
2409,CH_PR100025_TG007002_V0300_19.fits,37799,BREEZE-M R/B,ROCKET BODY,11045B,-50.723,-29.873,1768415.0,2022-05-26T06:36:51.080Z,2022-05-26T06:36:51.296Z,2803109.0,0.172,3.91,1.29,56.9,-1.0552902416097232,61.5,0.82030475,13.732973791063774,28.18455508853732,14.451326206513048,Rocket Body,Cyl,2011-08-17,1,15108.351778818096,10.91,-0.902894821885166,60.0,4984213.406659431,0.3354765361164429,0.9988324480157104,-47.382706,-0.29085973,242.573745727539,-24.9903507232666,136.88947,35.62603187529772,176.0837059965888,132.32315794935593,3935.0,2.6,4.0,4.0,,10.4,16.311764785498525,Short,2022-05-26T06:36:30.615449
